N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"73,400",800,-1.08%,100,"4,381,820","5,969,783",52.22,"11,287,711",12.71,13.92,
2,LG에너지솔루션,"440,000","13,000",-2.87%,500,"1,029,600","234,000",3.80,"547,313",298.31,N/A,
3,SK하이닉스,"128,500","1,500",-1.15%,"5,000","935,483","728,002",50.88,"3,156,132",11.62,9.53,
4,삼성전자우,"66,900",300,-0.45%,100,"550,511","822,887",74.78,"820,240",11.58,N/A,
5,NAVER,"313,000","5,000",-1.57%,100,"513,474","164,049",55.05,"482,464",3.10,15.22,
6,삼성바이오로직스,"775,000","8,000",+1.04%,"2,500","512,779","66,165",10.51,"52,768",124.92,N/A,
7,LG화학,"590,000","26,000",-4.22%,"5,000","416,495","70,592",49.48,"464,618",15.37,2.93,
8,카카오,"91,800","1,400",-1.50%,100,"409,393","445,962",28.23,"1,872,338",36.14,2.70,
9,현대차,"181,500","3,500",-1.89%,"5,000","387,808","213,668",27.42,"561,299",9.20,2.04,
10,삼성SDI,"541,000","12,000",-2.17%,"5,000","372,016","68,765",44.23,"191,092",33.93,4.54,
11,기아,"77,700","1,200",-1.52%,"5,000","314,967","405,363",35.35,"846,858",7.04,5.05,
12,KB금융,"62,600",700,-1.11%,"5,000","260,296","415,808",72.15,"1,025,807",5.98,8.53,
13,POSCO,"278,500","2,500",-0.89%,"5,000","242,815","87,187",52.85,"238,065",4.17,3.61,
14,셀트리온,"163,000","1,500",+0.93%,"1,000","224,868","137,956",20.59,"498,559",41.48,16.68,
15,카카오뱅크,"47,250","1,650",-3.37%,"5,000","224,513","475,159",16.17,"1,848,373",152.91,5.08,
16,현대모비스,"226,500","2,000",-0.88%,"5,000","214,208","94,573",34.27,"156,642",9.12,4.66,
17,신한지주,"40,650",600,-1.45%,"5,000","209,998","516,600",62.16,"1,149,946",5.40,8.20,
18,삼성물산,"109,500","2,000",-1.79%,100,"204,641","186,887",15.84,"288,968",12.46,3.81,
19,LG전자,"121,500","3,000",-2.41%,"5,000","198,832","163,648",28.51,"689,949",17.53,13.23,
20,SK이노베이션,"201,000","7,500",-3.60%,"5,000","185,856","92,466",23.54,"402,741","-5,911.76",-13.58,
21,카카오페이,"139,000","1,500",-1.07%,500,"183,409","131,949",42.62,"247,673",-691.54,-17.97,
22,SK,"221,500","4,000",-1.77%,200,"164,241","74,149",21.93,"121,540",25.89,1.11,
23,LG생활건강,"1,007,000","12,000",-1.18%,"5,000","157,275","15,618",42.27,"48,881",20.96,17.92,
24,하나금융지주,"51,200",200,-0.39%,"5,000","153,724","300,242",71.24,"1,157,397",4.78,8.96,
25,HMM,"30,750",650,+2.16%,"5,000","150,380","489,039",11.01,"20,782,223",3.87,8.93,
26,한국전력,"22,450",150,-0.66%,"5,000","144,121","641,964",14.54,"1,191,716",-13.23,2.91,
27,크래프톤,"273,500",0,0.00%,100,"134,212","49,072",29.49,"237,281",21.44,61.86,
28,삼성생명,"61,800","1,800",-2.83%,500,"123,600","200,000",12.78,"349,232",7.90,3.53,
29,삼성전기,"164,500","3,000",-1.79%,"5,000","122,871","74,694",29.80,"413,368",12.65,10.92,
30,SK텔레콤,"55,000",300,+0.55%,100,"120,358","218,833",45.03,"389,884",8.53,6.44,
31,LG,"76,200","1,000",-1.30%,"5,000","119,863","157,301",36.30,"295,964",5.03,7.50,
32,하이브,"273,500","2,000",-0.73%,500,"113,102","41,353",15.64,"542,035",97.30,12.52,
33,SK바이오사이언스,"146,500","4,500",-2.98%,500,"112,072","76,500",5.28,"373,026",56.41,13.25,
34,KT&G,"80,700",200,+0.25%,"5,000","110,795","137,292",36.36,"272,871",9.30,13.22,
35,아모레퍼시픽,"188,500","2,500",-1.31%,500,"110,259","58,493",30.13,"211,165",72.70,0.78,
36,삼성에스디에스,"138,500","2,000",-1.42%,500,"107,168","77,378",11.40,"91,306",15.77,6.71,
37,우리금융지주,"14,600",100,+0.69%,"5,000","106,297","728,061",33.85,"2,754,382",4.46,5.87,
38,대한항공,"29,750",300,-1.00%,"5,000","103,477","347,821",12.71,"1,811,039",13.97,-7.22,
39,엔씨소프트,"462,500","21,500",-4.44%,500,"101,537","21,954",43.88,"326,055",28.55,20.83,
40,고려아연,"526,000","4,000",-0.75%,"5,000","99,256","18,870",18.33,"23,027",13.15,8.37,
41,두산중공업,"18,600",300,-1.59%,"5,000","97,135","522,230",7.73,"5,102,830",56.02,-37.20,
42,삼성화재,"197,500","13,500",-6.40%,500,"93,565","47,375",48.73,"397,405",8.54,4.96,
43,S-Oil,"81,300",900,-1.09%,"2,500","91,530","112,583",77.82,"385,950",7.83,-13.07,
44,현대중공업,"102,000","2,100",+2.10%,"5,000","90,549","88,773",2.16,"235,506",-11.13,-7.86,
45,포스코케미칼,"113,000","2,000",-1.74%,500,"87,533","77,463",6.39,"182,919",63.09,2.96,
46,넷마블,"100,500","1,000",-0.99%,100,"86,383","85,954",22.91,"170,461",37.17,6.35,
47,SK아이이테크놀로지,"121,000",0,0.00%,"1,000","86,270","71,298",10.76,"232,767",79.55,11.00,
48,KT,"32,050",0,0.00%,"5,000","83,686","261,112",39.57,"750,748",8.19,4.76,
49,기업은행,"10,900",250,-2.24%,"5,000","81,129","744,301",13.96,"1,644,878",4.03,6.44,
50,SK스퀘어,"55,100",700,-1.25%,100,"77,949","141,468",38.19,"807,747",N/A,N/A,
